,∆u_I,u_Sn,u_Cs,E_perfect,VBM,∆H(XI_a) =∆u_X + a(∆u_I),,,,
I-rich,-0.605,-5.98,-4.54,-332.65,1.82,∆u_X = ∆H(XI_a) - a(∆u_I),,,,
I-poor,-0.895,-5.48,-4.18,-332.65,1.82,u_X = ∆u_X + E_X,,,,
,,,,,,E^f = E_tot - E_perfect + q*VBM + E_corr + u_Sn - u_X,,,,
In total = 25 X_Sn,,,,,I-rich condition,,,I-poor condition,,
X_Sn,E_tot (eV),E_perfect (eV),q*VBM (eV),E_corr (eV),u_Sn (eV),u_X (eV),E^f (eV),u_Sn (eV),u_X (eV),E^f (eV)
Ag_Sn-0,-330.70,-332.65,0.00,0.00,-5.98,-4.13,0.098,-5.48,-3.84,0.308
Ag_Sn+1,-332.04,-332.65,1.82,0.12,-5.98,-4.13,0.704,-5.48,-3.84,0.914
Al_Sn-0,-332.38,-332.65,0.00,0.00,-5.98,-6.74,1.028,-5.48,-5.87,0.658
Al_Sn+1,-335.41,-332.65,1.82,0.13,-5.98,-6.74,-0.047,-5.48,-5.87,-0.417
Au_Sn-0,-330.85,-332.65,0.00,0.00,-5.98,-4.32,0.136,-5.48,-4.00,0.316
Au_Sn+1,-332.16,-332.65,1.82,0.11,-5.98,-4.32,0.755,-5.48,-4.00,0.935
Cd_Sn-0,-329.79,-332.65,0.00,0.00,-5.98,-3.10,-0.020,-5.48,-2.52,-0.100
Cd_Sn+1,-331.42,-332.65,1.82,0.12,-5.98,-3.10,0.286,-5.48,-2.52,0.206
Cu_Sn-0,-331.20,-332.65,0.00,0.00,-5.98,-4.67,0.140,-5.48,-4.09,0.060
Cu_Sn+1,-332.45,-332.65,1.82,0.12,-5.98,-4.67,0.835,-5.48,-4.09,0.755
Ga_Sn-0,-331.37,-332.65,0.00,0.00,-5.98,-5.60,0.904,-5.48,-4.73,0.534
Ga_Sn+1,-333.90,-332.65,1.82,0.09,-5.98,-5.60,0.279,-5.48,-4.73,-0.091
Ge_Sn-0,-333.56,-332.65,0.00,0.00,-5.98,-6.83,-0.059,-5.48,-6.25,-0.139
Ge_Sn+1,-335.33,-332.65,1.82,0.13,-5.98,-6.83,0.118,-5.48,-6.25,0.038
Mg_Sn-0,-331.49,-332.65,0.00,0.00,-5.98,-4.76,-0.058,-5.48,-4.18,-0.138
Mg_Sn+1,-333.13,-332.65,1.82,0.12,-5.98,-4.76,0.239,-5.48,-4.18,0.159
Mo_Sn-0,-342.66,-332.65,0.00,0.00,-5.98,-17.21,1.219,-5.48,-16.05,0.559
Mo_Sn+1,-345.12,-332.65,1.82,0.17,-5.98,-17.21,0.755,-5.48,-16.05,0.095
Pd_Sn-0,-334.79,-332.65,0.00,0.00,-5.98,-8.10,-0.018,-5.48,-7.52,-0.098
Pd_Sn+1,-336.07,-332.65,1.82,0.11,-5.98,-8.10,0.630,-5.48,-7.52,0.550
Cr_Sn-0,-346.69,-332.65,0.00,0.00,-5.98,-20.10,0.077,-5.48,-19.23,-0.293
Cr_Sn+1,-348.34,-332.65,1.82,0.12,-5.98,-20.10,0.369,-5.48,-19.23,-0.001
Sc_Sn-0,-339.17,-332.65,0.00,0.00,-5.98,-13.60,1.095,-5.48,-12.73,0.725
Sc_Sn+1,-342.39,-332.65,1.82,0.12,-5.98,-13.60,-0.184,-5.48,-12.73,-0.554
Y_Sn-0,-339.68,-332.65,0.00,0.00,-5.98,-14.37,1.360,-5.48,-13.5,0.990
Y_Sn+1,-343.16,-332.65,1.82,0.10,-5.98,-14.37,-0.196,-5.48,-13.5,-0.566
Zr_Sn-0,-340.65,-332.65,0.00,0.00,-5.98,-15.58,1.596,-5.48,-14.42,0.936
Zr_Sn+1,-343.90,-332.65,1.82,0.12,-5.98,-15.58,0.288,-5.48,-14.42,-0.372
As_Sn-0,-332.56,-332.65,0.00,0.00,-5.98,-6.73,0.842,-5.48,-6.73,1.342
As_Sn+1,-334.96,-332.65,1.82,0.12,-5.98,-6.73,0.384,-5.48,-6.73,0.884
Sb_Sn-0,-333.16,-332.65,0.00,0.00,-5.98,-7.39,0.897,-5.48,-7.23,1.237
Sb_Sn+1,-335.82,-332.65,1.82,0.08,-5.98,-7.39,0.137,-5.48,-7.23,0.477
Bi_Sn-0,-332.86,-332.65,0.00,0.00,-5.98,-6.62,0.430,-5.48,-5.93,0.240
Bi_Sn+1,-335.29,-332.65,1.82,0.15,-5.98,-6.62,-0.034,-5.48,-5.93,-0.224
Ca_Sn-0,-333.76,-332.65,0.00,0.00,-5.98,-7.13,0.039,-5.48,-6.55,-0.041
Ca_Sn+1,-335.46,-332.65,1.82,0.15,-5.98,-7.13,0.309,-5.48,-6.55,0.229
In_Sn-0,-331.27,-332.65,0.00,0.00,-5.98,-5.09,0.493,-5.48,-4.22,0.123
In_Sn+1,-333.58,-332.65,1.82,0.09,-5.98,-5.09,0.094,-5.48,-4.22,-0.276
Mn_Sn-0,-348.52,-332.65,0.00,0.00,-5.98,-22.02,0.172,-5.48,-21.44,0.092
Mn_Sn+1,-350.18,-332.65,1.82,0.15,-5.98,-22.02,0.479,-5.48,-21.44,0.399
Nb_Sn-0,-342.45,-332.65,0.00,0.00,-5.98,-16.51,0.728,-5.48,-15.06,-0.222
Nb_Sn+1,-344.70,-332.65,1.82,0.13,-5.98,-16.51,0.432,-5.48,-15.06,-0.518
Zn_Sn-0,-330.03,-332.65,0.00,0.00,-5.98,-3.20,-0.157,-5.48,-2.62,-0.237
Zn_Sn+1,-331.70,-332.65,1.82,0.13,-5.98,-3.20,0.117,-5.48,-2.62,0.037
W_Sn-0,-343.13,-332.65,0.00,0.00,-5.98,-18.34,1.885,-5.48,-18.34,2.385
W_Sn+1,-346.29,-332.65,1.82,0.17,-5.98,-18.34,0.706,-5.48,-18.34,1.206
V_Sn-0,-344.81,-332.65,0.00,0.00,-5.98,-18.53,0.393,-5.48,-17.37,-0.267
V_Sn+1,-346.40,-332.65,1.82,0.14,-5.98,-18.53,0.763,-5.48,-17.37,0.103