,EA,1st IE,2nd IE,3rd IE,D,t (AR) 100%,u (IR) 100%,OS,HF (exp),S,HV,CT
Sc,0.169,0.893,0.875,0.812,0.4,0.977,0.339,1.5,2.966,2.613,1.097,1.280
Y,0.276,0.847,0.836,0.673,0.6,0.893,0.409,1.5,3.215,1.373,1.310,1.556
Zr,0.383,0.903,0.900,0.754,0.9,0.910,0.327,2.0,2.032,1.281,2.000,1.308
As,0.727,1.336,1.274,0.929,0.8,1.275,0.264,2.5,0.304,1.512,0.112,0.457
Sb,0.962,1.177,1.130,0.829,0.9,1.178,0.345,2.5,0.501,0.954,0.234,0.759
Bi,0.850,0.992,1.140,0.831,1.3,1.132,0.468,2.5,0.785,0.562,0.552,0.464
Al,0.396,0.787,1.287,0.933,0.4,1.253,0.243,1.5,1.612,4.166,1.010,1.075
Ca,0.022,0.832,0.811,1.669,0.2,0.945,0.455,1.0,3.722,2.908,0.534,-0.270
Ga,0.269,0.817,1.402,1.007,0.8,1.163,0.282,1.5,1.137,1.710,0.883,0.625
In,0.269,0.788,1.290,0.919,1.0,1.078,0.364,1.5,1.412,1.074,0.793,0.399
Mn,-0.466,1.012,1.069,1.104,1.0,1.058,0.377,1.0,1.113,2.207,0.759,-0.307
Nb,0.802,0.920,0.977,0.821,1.2,0.933,0.291,2.5,1.121,1.221,2.379,0.296
Mo,0.670,0.966,1.105,0.890,1.4,0.957,0.359,3.0,0.660,1.157,2.069,0.464
Zn,-0.541,1.279,1.228,1.302,1.0,1.136,0.336,1.0,1.429,1.788,0.410,-0.274
V,0.472,0.919,1.002,0.962,0.8,1.021,0.264,2.0,1.030,2.253,1.562,-0.370
Cr,0.599,0.921,1.127,1.015,1.0,1.039,0.280,1.5,1.042,2.065,1.169,-0.292
Cu,1.103,1.052,1.387,1.208,1.2,1.123,0.332,1.0,0.497,1.771,1.034,-0.695
W,0.733,1.087,1.204,0.853,2.6,0.948,0.273,3.0,0.505,0.608,2.759,1.179
Ag,1.171,1.032,1.466,1.142,1.4,1.043,0.523,0.5,0.644,1.083,0.879,-0.606
Au,2.076,1.256,1.402,0.982,2.6,1.011,0.386,1.5,0.352,0.595,1.138,-0.619
Mg,-0.373,1.041,1.028,2.627,0.2,1.123,0.327,1.0,2.571,4.700,0.441,-0.296
Pd,0.500,1.135,1.325,1.080,1.6,1.028,0.391,1.0,0.439,1.106,0.614,-0.647
Cd,-0.634,1.225,1.156,1.229,1.2,1.058,0.280,1.0,0.497,1.060,0.345,-0.306
Ge,1.109,1.075,1.089,1.122,0.7,1.217,0.332,1.0,0.541,1.481,1.152,-0.177